id,title,venue_id,date,start_time,end_time,kind,tickets,age_limit,description,url
midway-mural-project,Midway Mural Project,creativewritinghouse,2026-10-04,14:00,15:30,art,,,Artists paint a large community mural on a temporary wall.,
velvet-undergrounds,The Velvet Undergrounds,ginkgocoffeehouse,2026-10-02,17:00,18:00,music,,,"A psychedelic rock band plays long, improvisational jams.",
community-garden-tour,Community Garden Tour,ginkgocoffeehouse,2026-10-03,11:00,11:45,other,,,Volunteers show off the vegetables and flowers grown by neighbors.,
river-city-roots,River City Roots,ginkgocoffeehouse,2026-10-03,19:00,19:45,music,,,A bluegrass band plays fast fiddle tunes and banjo solos.,
migrant-workers,Migrant Workers,jimmyleereccenter,2026-10-03,20:00,20:45,music,,,A Latinx folk group plays traditional songs from Central America.,
hmong-youth-ensemble,The Hmong Youth Ensemble,ginkgocoffeehouse,2026-10-04,15:00,15:45,music,,,Young musicians play traditional Hmong instruments in a modern style.,
polka-punks,The Polka Punks,ginkgocoffeehouse,2026-10-04,16:00,16:45,music,,,A band mixes polka rhythms with punk rock energy.,
cedar-and-sage-2,Cedar & Sage,ginkgocoffeehouse,2026-10-04,17:00,17:45,music,,,A singer-songwriter performs original acoustic folk songs.,
blue-note-st-paul,Blue Note St. Paul,urbanlights,2026-10-02,17:00,17:45,music,,,A jazz trio plays standards on a small side stage.,
los-amigos-de-midway,Los Amigos de Midway,urbanlights,2026-10-02,18:00,18:45,music,,,A Latin jazz band plays upbeat salsa rhythms.,
midnight-express,The Midnight Express,urbanlights,2026-10-03,19:00,19:45,music,,,A soul and R&B cover band plays Motown hits.,
somali-jazz-fusion,Somali Jazz Fusion,urbanlights,2026-10-03,20:00,20:45,music,,,A group blends Somali vocals with jazz piano and bass.,
concrete-poets-2,The Concrete Poets,urbanlights,2026-10-03,21:00,21:45,performance,,,A local hip hop group delivers spoken word over simple drum beats.,
jazz-cats,The Jazz Cats,urbanlights,2026-10-04,15:00,15:45,music,,,A small combo plays bebop improvisations.,
hip-hop-history-lesson,The Hip Hop History Lesson,urbanlights,2026-10-04,16:00,16:45,performance,,,An older MC performs classic hip hop tracks from the 90s.,
beat-box-collective-2,The Beat Box Collective,urbanlights,2026-10-04,17:00,17:45,performance,,,A hip hop crew performs live backing tracks for guest MCs.,
somali-stars,Somali Stars,sundinmusichall,2026-10-02,17:00,17:45,music,Paid Ticket Required,,A Somali musical group plays rhythmic songs featuring the oud instrument.,
jazz-cats-2,The Jazz Cats,sundinmusichall,2026-10-02,18:00,18:45,music,Paid Ticket Required,,A small combo plays bebop improvisations.,
local-business-fair,Local Business Fair,sundinmusichall,2026-10-03,11:00,12:30,vendor,,,Shop owners set up tables to sell goods and offer discounts.,
hmong-harmony-singers,The Hmong Harmony Singers,sundinmusichall,2026-10-03,19:00,19:45,music,,,A traditional Hmong ensemble performs songs with the khene bamboo mouth organ.,
polka-potatoes,The Polka Potatoes,sundinmusichall,2026-10-03,20:00,20:45,music,,,A polka band plays accordion-driven dance music.,
midway-strays-2,The Midway Strays,sundinmusichall,2026-10-03,21:00,21:45,music,,,"An indie rock quartet plays loud, reverb-heavy songs on the main stage.",
st-paul-swing,St. Paul Swing,sundinmusichall,2026-10-04,15:00,15:45,music,,,A big band plays swing music from the 1940s.,
red-river-rowers,The Red River Rowers,sundinmusichall,2026-10-04,16:00,16:45,music,,,A country band plays two-step dance tunes for the crowd.,
west-side-youth-choir,The West Side Youth Choir,sundinmusichall,2026-10-04,17:00,17:45,music,,,Local high school students sing classical and contemporary pieces.,
instrument-petting-zoo,Instrument Petting Zoo,turfclub,2026-10-03,11:00,12:30,other,General Admission (limited capacity),,"Kids can touch and try playing ukuleles, drums, and xylophones.",
story-time-with-the-mayor,Story Time with the Mayor,turfclub,2026-10-03,12:45,13:30,literary,,,The city mayor reads a children's book about nature to the crowd.,
face-painting-station,Face Painting Station,turfclub,2026-10-03,13:45,14:45,other,,,Artists paint simple animal designs on children's faces.,
kite-flying-workshop,Kite Flying Workshop,turfclub,2026-10-04,11:00,12:30,other,,,Families build and decorate simple paper kites to fly in the park.,
bubble-making-contest,Bubble Making Contest,turfclub,2026-10-04,12:45,13:30,other,,,Kids compete to make the largest soap bubbles using wands.,
craft-table-for-kids,Craft Table for Kids,turfclub,2026-10-04,13:45,14:45,other,,,Children make paper mâché masks with provided supplies.,
concrete-poets,The Concrete Poets,hamlinepark,2026-10-02,17:00,17:45,performance,,,A local hip hop group delivers spoken word over simple drum beats.,
somali-jazz-fusion-2,Somali Jazz Fusion,hamlinepark,2026-10-02,18:00,18:45,music,,,A group blends Somali vocals with jazz piano and bass.,
bike-safety-clinic,Bike Safety Clinic,hamlinepark,2026-10-03,11:00,12:00,other,,,Police officers teach kids how to wear helmets and ride safely.,
beat-box-collective,The Beat Box Collective,hamlinepark,2026-10-03,19:00,19:45,performance,,,A hip hop crew performs live backing tracks for guest MCs.,
los-amigos-de-midway-2,Los Amigos de Midway,hamlinepark,2026-10-03,20:00,20:45,music,,,A Latin jazz band plays upbeat salsa rhythms.,
static-bloom,Static Bloom,hamlinepark,2026-10-04,15:30,16:15,music,,,An experimental noise rock band uses synthesizers and feedback.,
somali-stars-2,Somali Stars,hamlinepark,2026-10-04,16:30,17:15,music,,,A Somali musical group plays rhythmic songs featuring the oud instrument.,
